Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Unnamed: 14,Unnamed: 15
Nurse practitioners,Newfoundland and Labrador,Supply,Total,136.0,149.0,165.0,168.0,183.0,191.0,207.0,231.0,260,290.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Age <25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Age 25–34,13.0,23.0,28.0,28.0,37.0,33.0,43.0,46.0,60,54.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Age 35–44,39.0,37.0,38.0,42.0,50.0,60.0,63.0,75.0,87,112.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Age 45–54,61.0,59.0,67.0,67.0,61.0,59.0,62.0,65.0,63,67.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Age 55–64,21.0,28.0,28.0,25.0,31.0,34.0,33.0,40.0,45,52.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Age 65+,2.0,2.0,4.0,6.0,4.0,5.0,6.0,5.0,5,5.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Age,Average age,47.0,46.4,46.1,45.9,44.9,45.2,44.8,44.5,44,44.2,,
Nurse practitioners,Newfoundland and Labrador,Sex,Female,117.0,127.0,141.0,144.0,158.0,166.0,177.0,197.0,226,254.0,,
Nurse practitioners,Newfoundland and Labrador,Sex,Male,19.0,22.0,24.0,24.0,25.0,25.0,30.0,34.0,34,36.0,,
Nurse practitioners,Newfoundland and Labrador,Sex,Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Inflow,Total,12.0,,21.0,18.0,31.0,21.0,27.0,36.0,36,48.0,,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age <35,9.0,,12.0,7.0,13.0,7.0,14.0,21.0,22,11.0,,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age 35–54,3.0,,6.0,9.0,14.0,11.0,13.0,13.0,12,34.0,,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age 55+,0.0,,3.0,2.0,4.0,3.0,0.0,2.0,2,3.0,,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age not stated,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
Nurse practitioners,Newfoundland and Labrador,Outflow,Total,,5.0,15.0,16.0,13.0,11.0,12.0,7.0,18,,,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age <35,,1.0,2.0,2.0,2.0,3.0,5.0,0.0,6,,,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age 35–54,,2.0,5.0,7.0,6.0,4.0,4.0,5.0,8,,,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age 55+,,2.0,8.0,7.0,5.0,4.0,3.0,2.0,4,,,
