Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Newfoundland and Labrador,Workforce,Total,136,148,163,164,180,189,205,229,258,290
Nurse practitioners,Newfoundland and Labrador,Inflow,Total,13,,21,18,32,22,27,36,37,49
Nurse practitioners,Newfoundland and Labrador,Inflow,Canadian educated,13,,20,18,30,22,27,36,37,47
Nurse practitioners,Newfoundland and Labrador,Inflow,Internationally educated,0,,1,0,2,0,0,0,0,2
Nurse practitioners,Newfoundland and Labrador,Inflow,Grad location not stated,0,,0,0,0,0,0,0,0,0
Nurse practitioners,Newfoundland and Labrador,Outflow,Total,,6,17,16,13,11,12,8,17,
Nurse practitioners,Newfoundland and Labrador,Renewal,Total,123,,142,146,148,167,178,193,221,241
Nurse practitioners,Newfoundland and Labrador,Full-time/part-time status,Full time,118,120,129,134,156,166,176,191,214,205
Nurse practitioners,Newfoundland and Labrador,Full-time/part-time status,Part time,6,7,11,10,7,7,16,18,19,64
Nurse practitioners,Newfoundland and Labrador,Full-time/part-time status,Casual,12,21,23,20,17,16,13,20,25,21
Nurse practitioners,Newfoundland and Labrador,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Newfoundland and Labrador,Place of work,Hospital,59,60,66,71,77,77,85,93,97,91
Nurse practitioners,Newfoundland and Labrador,Place of work,Community health,37,47,54,46,54,60,67,76,88,86
Nurse practitioners,Newfoundland and Labrador,Place of work,Nursing home/long-term care,8,10,11,16,19,18,18,15,21,6
Nurse practitioners,Newfoundland and Labrador,Place of work,Other place of work,32,31,32,31,30,34,35,45,52,107
Nurse practitioners,Newfoundland and Labrador,Place of work,Not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Newfoundland and Labrador,Position,Staff nurse,5,11,8,6,9,9,17,12,14,18
Nurse practitioners,Newfoundland and Labrador,Position,Manager,5,2,2,6,10,7,4,8,9,12
Nurse practitioners,Newfoundland and Labrador,Position,Other position,126,135,153,152,161,173,184,209,235,260
Nurse practitioners,Newfoundland and Labrador,Position,Not stated,0,0,0,0,0,0,0,0,0,0
Nurse practitioners,Newfoundland and Labrador,Area of practice,Direct care,125,137,151,153,171,180,194,218,246,264
Nurse practitioners,Newfoundland and Labrador,Area of practice,Administration,3,3,4,3,2,1,1,3,4,2
Nurse practitioners,Newfoundland and Labrador,Area of practice,Education,8,8,8,8,7,8,10,8,7,8
Nurse practitioners,Newfoundland and Labrador,Area of practice,Research,0,0,0,0,0,0,0,0,0,1
Nurse practitioners,Newfoundland and Labrador,Area of practice,Not stated,0,0,0,0,0,0,0,0,1,15
